Latitude,Longitude
-35.2808849,-58.8030979
57.1452452,-2.0913744
51.6714842,-1.2779714
-34.9274283,138.599899
34.1363945,-118.7745347
51.7627633,7.8909086
41.0830643,-81.5184853
42.6511674,-73.7549679
43.6480127,-93.3682655
45.7608142,9.7968303
35.0841034,-106.650985
52.63373645,4.7402031936764
48.22507335,16.3583975990458
42.0267703,-93.6170553
42.3803676,-72.5231429
33.8347516,-117.9117319
39.9220732,32.853758
42.2681569,-83.731229
42.0128695,-73.90819
56.2231279,-2.7004835
43.5836,7.10905
53.4711176,-2.2130324
34.395342,-111.7632754
32.7355816,-97.1071185
38.8807617,-77.1076907147799
52.0056642,5.87623450776413
40.2203907,-74.0120816
49.9740542,9.1493636
46.1878845,-123.8312562
37.9841493,23.7279843
33.7490987,-84.3901848
48.9591392,1.8554319
-36.8534664,174.7655514
48.3668041,10.8986971
30.2711286,-97.7436994
19.75703,-104.318340055487
51.8161412,-0.8130382
51.33395535,6.08323692477243
24.6551671,68.8401509
-12.2852509,-41.9294775
30.0338923,-115.1425106
35.3738712,-119.0194638
30.5677527,-87.7324391
49.4916263,4.1611971
53.3948616,-6.2651935
39.2908608,-76.6108072
12.6493194,-8.000337
41.3825596,2.1771353
51.5389922,0.0804245
11.04667645,-74.8490503668463
35.3736959,-89.7634155
41.9908485,-88.1850027
51.5681417,0.4567961
51.3813864,-2.3596962
50.9177711,0.4836541
28.982941,-95.9633614333052
50.0844111,2.6560819
45.4871723,-122.8037803
51.4070938,-0.0303182
40.6834364,-73.9412487
52.61374145,1.5146160724676
54.5969869,-5.9300991
38.5200504,-89.9839934
47.6144219,-122.1923371
48.754402,-122.4788601
35.1487007,-89.9078654
60.3943457,5.3258853
37.8708393,-122.2728638
52.5170365,13.3888599
32.3018217,-64.7603582
60.794479,-161.792983192573
51.5303456,-0.0561632
42.5584284,-70.880049
33.8959203,35.47843
43.4925843,-70.4533843
53.3943509,-3.0191568
52.4776875,-1.8948515
37.3173747,-122.1479008
53.8245483,-3.03731989502197
37.2296566,-80.4136766
51.6663189,-3.1974328
39.1670396,-86.534288
26.3586885,-80.0830983
43.61656,-116.2008349
50.7358511,7.1006599
44.841225,-0.5800363
60.4856426,15.4234561
57.7210839,12.9407407
42.3604823,-71.0595677
40.0149856,-105.2705455
50.74467035,-1.85798080318094
36.9903199,-86.4436017
34.0331656,-118.2048647
53.7941567,-1.7494777
-10.3333332,-53.1999999
42.8509152,-72.5578677
53.2014604,-6.1105048
47.53279725,-122.754160974447
50.733785,-2.7589004
50.8220399,-0.137406
51.453493,-2.5973936
51.4568044,-0.1167958
36.0525993,-95.7908194
25.06013005,-77.3124820417139
25.9140256,-97.4890855
51.2315785,3.20809951603418
50.8465565,4.351697
-34.6143904,-58.4460878
42.8867166,-78.8783921
44.4723989,-73.211494
40.1827061,29.0667635
59.92893775,10.4997293915621
-36.9863165,-72.2195559
34.1446643,-118.6440972
51.0530588,-114.0625613
36.7014631,-118.7559973
40.6945474,-73.7384652
52.2033051,0.124862
-43.49417605,171.809844758414
23.1300037,113.259001
-33.9289048,18.4172485
10.4885375,-66.8791738
51.4816546,-3.1791933
40.7526008,-73.6104057
33.5949733,-7.6188008
33.938553,-81.0716683642166
41.9758872,-91.6704052
53.3383004,-6.5396222
31.2579584,-95.9782919
40.1164205,-88.2433828
34.1659795,-81.3498211
35.2270869,-80.8431267
53.1908873,-2.8908954
41.8755546,-87.6244211
50.84467705,-0.783114331619324
35.683365,139.753577
39.1014537,-84.5124601
34.69992025,-118.141413492155
