Latitude,Longitude,PlayCount
-35.2808849,-58.8030979,1.0
57.1452452,-2.0913744,1.0
51.6714842,-1.2779714,88.0
-34.9274283,138.599899,4.0
34.1363945,-118.7745347,1.0
51.7627633,7.8909086,
41.0830643,-81.5184853,144.0
42.6511674,-73.7549679,41.0
43.6480127,-93.3682655,1.0
45.7608142,9.7968303,7.0
35.0841034,-106.650985,12.0
52.63373645,4.7402031936764,1.0
48.22507335,16.3583975990458,2.0
42.0267703,-93.6170553,5.0
42.3803676,-72.5231429,12.0
33.8347516,-117.9117319,106.0
39.9220732,32.853758,11.0
42.2681569,-83.731229,17.0
42.0128695,-73.90819,4.0
56.2231279,-2.7004835,
43.5836,7.10905,6.0
53.4711176,-2.2130324,15.0
34.395342,-111.7632754,4.0
32.7355816,-97.1071185,1.0
38.8807617,-77.1076907147799,1.0
52.0056642,5.87623450776413,1.0
40.2203907,-74.0120816,1.0
49.9740542,9.1493636,1.0
46.1878845,-123.8312562,15.0
37.9841493,23.7279843,23.0
33.7490987,-84.3901848,29.0
48.9591392,1.8554319,1.0
-36.8534664,174.7655514,1.0
48.3668041,10.8986971,
30.2711286,-97.7436994,135.0
19.75703,-104.318340055487,1.0
51.8161412,-0.8130382,9.0
51.33395535,6.08323692477243,1.0
24.6551671,68.8401509,1.0
-12.2852509,-41.9294775,1.0
30.0338923,-115.1425106,1.0
35.3738712,-119.0194638,1.0
30.5677527,-87.7324391,2.0
49.4916263,4.1611971,2.0
53.3948616,-6.2651935,25.0
39.2908608,-76.6108072,13.0
12.6493194,-8.000337,1.0
41.3825596,2.1771353,6.0
51.5389922,0.0804245,1.0
11.04667645,-74.8490503668463,1.0
35.3736959,-89.7634155,
41.9908485,-88.1850027,1.0
51.5681417,0.4567961,13.0
51.3813864,-2.3596962,30.0
50.9177711,0.4836541,9.0
28.982941,-95.9633614333052,2.0
50.0844111,2.6560819,6.0
45.4871723,-122.8037803,1.0
51.4070938,-0.0303182,2.0
40.6834364,-73.9412487,3.0
52.61374145,1.5146160724676,3.0
54.5969869,-5.9300991,6.0
38.5200504,-89.9839934,1.0
47.6144219,-122.1923371,1.0
48.754402,-122.4788601,18.0
35.1487007,-89.9078654,59.0
60.3943457,5.3258853,19.0
37.8708393,-122.2728638,6.0
52.5170365,13.3888599,40.0
32.3018217,-64.7603582,1.0
60.794479,-161.792983192573,5.0
51.5303456,-0.0561632,3.0
42.5584284,-70.880049,38.0
33.8959203,35.47843,26.0
43.4925843,-70.4533843,3.0
53.3943509,-3.0191568,4.0
52.4776875,-1.8948515,95.0
37.3173747,-122.1479008,14.0
53.8245483,-3.03731989502197,1.0
37.2296566,-80.4136766,2.0
51.6663189,-3.1974328,16.0
39.1670396,-86.534288,
26.3586885,-80.0830983,1.0
43.61656,-116.2008349,3.0
50.7358511,7.1006599,1.0
44.841225,-0.5800363,1.0
60.4856426,15.4234561,16.0
57.7210839,12.9407407,
42.3604823,-71.0595677,215.0
40.0149856,-105.2705455,1.0
50.74467035,-1.85798080318094,2.0
36.9903199,-86.4436017,3.0
34.0331656,-118.2048647,1.0
53.7941567,-1.7494777,3.0
-10.3333332,-53.1999999,2.0
42.8509152,-72.5578677,1.0
53.2014604,-6.1105048,146.0
47.53279725,-122.754160974447,1.0
50.733785,-2.7589004,6.0
50.8220399,-0.137406,36.0
51.453493,-2.5973936,33.0
51.4568044,-0.1167958,28.0
36.0525993,-95.7908194,1.0
25.06013005,-77.3124820417139,49.0
25.9140256,-97.4890855,1.0
51.2315785,3.20809951603418,2.0
50.8465565,4.351697,1.0
-34.6143904,-58.4460878,2.0
42.8867166,-78.8783921,3.0
44.4723989,-73.211494,1.0
40.1827061,29.0667635,2.0
59.92893775,10.4997293915621,1.0
-36.9863165,-72.2195559,1.0
34.1446643,-118.6440972,3.0
51.0530588,-114.0625613,30.0
36.7014631,-118.7559973,54.0
40.6945474,-73.7384652,2.0
52.2033051,0.124862,30.0
-43.49417605,171.809844758414,14.0
23.1300037,113.259001,5.0
-33.9289048,18.4172485,1.0
10.4885375,-66.8791738,1.0
51.4816546,-3.1791933,1.0
40.7526008,-73.6104057,14.0
33.5949733,-7.6188008,1.0
33.938553,-81.0716683642166,1.0
41.9758872,-91.6704052,1.0
53.3383004,-6.5396222,50.0
31.2579584,-95.9782919,
40.1164205,-88.2433828,1.0
34.1659795,-81.3498211,5.0
35.2270869,-80.8431267,3.0
53.1908873,-2.8908954,3.0
41.8755546,-87.6244211,75.0
50.84467705,-0.783114331619324,3.0
35.683365,139.753577,1.0
39.1014537,-84.5124601,119.0
34.69992025,-118.141413492155,1.0
