id,name,type,begin_area_id,begin_area_name,area_id,area_name,place_id,place
10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,Massive Attack,Group,40d758a4-b7c2-40f3-b439-5efbd2a3b038,Bristol,40d758a4-b7c2-40f3-b439-5efbd2a3b038,Bristol,40d758a4-b7c2-40f3-b439-5efbd2a3b038,Bristol
9a709693-b4f8-4da9-8cc1-038c911a61be,Bonobo,Person,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom
c967be35-203f-41ec-97a5-634a83b68a94,Kiev,Group,,,bf51dede-2c6c-4908-abaa-3d6b491d0cf5,Orange,bf51dede-2c6c-4908-abaa-3d6b491d0cf5,Orange
17f7d39e-14be-4d49-8c5e-f1bc7005aebd,Reignwolf,Person,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States
332228ce-fe8c-4a5e-90e0-e1361553e5ff,Amos Lee,Person,0eeb01c2-6e31-46ad-96b8-319749f731d2,Philadelphia,489ce91b-6658-3307-9877-795b68554c98,United States,0eeb01c2-6e31-46ad-96b8-319749f731d2,Philadelphia
a77e45f9-7f01-4577-9c1b-f2045d15aa74,The Forest Rangers,Group,,,,,,
c6d5694c-e4b1-43a1-b9ad-e2af684a99b8,Billy Valentine,Person,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States
a789d801-6587-4ff9-a3ac-1d0fd5be1e44,Franky Perez,Person,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States
971e2203-5f5c-4ac1-a3e2-210413391d09,Katey Sagal,Person,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States
5084cdad-e156-4329-bf89-3a49ba8ea79f,Joshua James,Person,33957ca3-f2cd-4b08-b667-c933eff5c1a7,Lincoln,489ce91b-6658-3307-9877-795b68554c98,United States,33957ca3-f2cd-4b08-b667-c933eff5c1a7,Lincoln
0fe0bb6a-adad-4554-917e-6ef251bbdafc,Audra Mae,Person,ca61e235-0f31-4c0e-8963-8232222ef6a8,Oklahoma City,489ce91b-6658-3307-9877-795b68554c98,United States,ca61e235-0f31-4c0e-8963-8232222ef6a8,Oklahoma City
197450cd-0124-4164-b723-3c22dd16494d,Frank Sinatra,Person,0a61386e-15df-4a38-a1f6-d751e133a1a9,Hoboken,489ce91b-6658-3307-9877-795b68554c98,United States,0a61386e-15df-4a38-a1f6-d751e133a1a9,Hoboken
150a1c3b-f382-42ed-b879-9b8061dc01b9,No Clear Mind,Group,,,803db0ca-b6ed-3bbc-aeb8-f89efd0a2168,Greece,803db0ca-b6ed-3bbc-aeb8-f89efd0a2168,Greece
78e46ae5-9bfd-433b-be3f-19e993d67ecc,Rufus Wainwright,Person,d6258f84-08c5-4112-83dd-106d12cd8090,Rhinebeck,c3cc624e-b963-49cf-ad0b-e318cb341963,Montreal,d6258f84-08c5-4112-83dd-106d12cd8090,Rhinebeck
667e856e-f3a7-42e9-8244-95422ef31321,The Breeders,Group,e331bfdf-b908-429c-a79b-710cf9c06abb,Boston,489ce91b-6658-3307-9877-795b68554c98,United States,e331bfdf-b908-429c-a79b-710cf9c06abb,Boston
4bc09c51-5d42-4c93-9ba6-8cc21a0edb8d,Them Crooked Vultures,Group,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,489ce91b-6658-3307-9877-795b68554c98,United States,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles
cf0f4547-ffbd-4011-98ad-0bec9ba022db,Kings of Convenience,Group,34268a86-54ec-487d-afa3-1afe3266a382,Bergen,34268a86-54ec-487d-afa3-1afe3266a382,Bergen,34268a86-54ec-487d-afa3-1afe3266a382,Bergen
ed81302a-c095-4f0d-a243-ec362956fee7,Ghost,Person,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom
a2be74f5-0735-46f7-a295-7e41aab30029,Mahavishnu Orchestra,Group,,,,,,
70248960-cb53-4ea4-943a-edb18f7d336f,Bruce Springsteen,Person,bb0af2e9-6ae0-4c4f-b729-c8d6444d6380,Long Branch,489ce91b-6658-3307-9877-795b68554c98,United States,bb0af2e9-6ae0-4c4f-b729-c8d6444d6380,Long Branch
f839f739-9988-4133-98c6-a836f12ec8cd,Antimatter,Group,,,,,,
541f16f5-ad7a-428e-af89-9fa1b16d3c9c,Pantera,Group,bc468dff-11c5-47d0-b5f3-353acbcd14c0,Arlington,489ce91b-6658-3307-9877-795b68554c98,United States,bc468dff-11c5-47d0-b5f3-353acbcd14c0,Arlington
825f5805-3bf2-490f-8c8a-42636094ad81,Amplifier,,,,,,,
406f1b42-0c9e-4427-aeb7-02f78e188ec4,Wishbone Ash,Group,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom
20883363-1ea4-4d72-ad72-c0e767038f3e,The Mars Volta,Group,b1a61563-a0c7-4bca-af23-66892a3c0115,El Paso,489ce91b-6658-3307-9877-795b68554c98,United States,b1a61563-a0c7-4bca-af23-66892a3c0115,El Paso
7b1cf87e-c54f-4abc-893d-90245a31900d,Mercury Rev,Group,7e5e7fd7-c1eb-4cb8-87e2-fb1c0eda9e48,Buffalo,489ce91b-6658-3307-9877-795b68554c98,United States,7e5e7fd7-c1eb-4cb8-87e2-fb1c0eda9e48,Buffalo
01614f48-a5cc-4c44-868e-6eac343e1d89,Absynthe Minded,Group,,,5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc,Belgium,5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc,Belgium
c5a0a216-c33c-42dc-92b8-4b60236f8dad,Andrea Bocelli,Person,747944ca-df01-4dec-924a-1d37b6e29c09,Lajatico,c6500277-9a3d-349b-bf30-41afdbf42add,Italy,747944ca-df01-4dec-924a-1d37b6e29c09,Lajatico
985c709c-7771-4de3-9024-7bda29ebe3f9,Norah Jones,Person,b2213f1e-563c-4809-b158-7529075397df,Bedford–Stuyvesant,489ce91b-6658-3307-9877-795b68554c98,United States,b2213f1e-563c-4809-b158-7529075397df,Bedford–Stuyvesant
6958e806-1e14-4844-a0a7-07a27756aa0f,A Great Big World,Group,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,Adele,Person,e944407f-dc30-419d-81f7-a991d92a56ef,Tottenham,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,e944407f-dc30-419d-81f7-a991d92a56ef,Tottenham
